Ta,G,V,Tc
26,0,2.5717,25
26,0,1.9717,25
26,0,2.191,25
27,0,2.311,25
27,0,2.1633,25
26,0,2.0753,25
26,0,2.4955,24
26,0,2.069,24
26,0,2.0002,25
26,0,2.72,25
26,0,2.6642,25
25,0,2.0254,25
25,0,1.6954,24
25,0,1.7667,24
26,0,1.3252,24
26,0,1.1146,24
26,0,1.1073,24
25,0,0.78348,24
25,0,0.91148,24
25,0,0.48523,23
24,0,0.54268,23
24,0,0.92675,23
25,0,0.6557,23
25,0,0.82348,23
25,0,0.72337,23
25,0,1.1044,23
25,0,0.9019,23
0,0,0.60168,0
25,0,0.77465,23
25,0,0.79997,23
25,0,0.88697,23
25,0,0.5688,24
25,0,0.5923,23
25,0,0.31035,23
25,0,0.58283,23
25,0,0.60093,23
25,0,0.7542,23
25,0,0.2343,23
25,0,0.5293,23
25,0,0.35777,23
25,0,0.64683,23
25,0,0.90872,23
25,0,0.5429,23
24,0,0.81057,24
24,0,1.0185,23
24,0,0.92132,23
24,0,0.86338,23
24,0,0.9226,23
24,0,1.1029,22
24,0,1.0133,23
24,0,1.1047,23
24,0,0.92332,23
24,0,0.70068,23
24,0,1.0382,23
25,0,1.1839,23
25,0,1.4292,23
25,0,1.3279,23
25,0,1.468,23
25,0,0.79065,23
25,0,0.80788,23
25,0,0.71322,23
25,0,1.39,23
24,0,1.3245,23
24,0,1.4655,23
24,0,1.4277,23
24,0,1.2423,23
25,12,0.68985,23
26,32,0.81633,23
26,49,1.1145,24
27,95,0.40555,25
29,139,0.2523,26
29,113,0.94265,28
26,65,1.2948,27
27,221,1.0635,27
31,319,0.95912,30
31,356,0.84608,31
32,408,1.0518,34
28,286,1.8445,34
29,468,1.546,35
28,477,0.9733,34
29,574,1.0012,41
30,617,0.89595,48
29,614,0.98023,49
29,298,0.90238,46
29,533,0.77537,42
29,240,0.83287,43
29,630,0.6129,40
30,778,0.82507,51
30,798,0.65028,56
30,817,1.1169,57
31,844,1.3967,59
31,860,0.7328,59
31,882,0.7602,60
31,764,0.93673,62
31,509,0.57818,56
31,404,1.4048,45
32,862,2.6359,59
32,1078,2.7407,61
32,1019,2.6167,61
33,1069,2.8425,63
32,977,2.9895,60
32,942,2.4143,58
32,958,2.4234,58
33,1020,2.176,61
32,585,2.3833,60
32,914,2.2936,53
32,868,2.4719,57
32,860,1.9618,56
32,851,2.0525,57
32,822,1.9651,57
32,801,2.386,57
32,782,2.4942,56
32,756,2.6941,55
32,729,2.7838,53
32,700,3.336,52
31,673,2.5654,50
31,641,2.9462,49
31,608,2.5514,48
31,573,2.1084,47
31,558,2.1108,47
31,285,1.9129,45
31,472,1.939,44
31,319,2.2064,44
30,206,1.6183,37
30,251,1.6308,38
30,291,1.5302,39
30,243,1.3736,39
30,199,1.5007,37
30,150,1.2386,35
30,107,1.0569,34
30,65,1.0811,31
29,17,1.0564,29
28,7,1.2234,27
28,0,1.0971,27
28,0,0.6155,26
28,0,0.44485,26
28,0,0.42558,26
28,0,0.61245,26
28,0,1.0111,26
27,0,0.96288,26
27,0,0.71638,25
27,0,1.0997,25
26,0,0.84172,25
27,0,1.0877,25
26,0,1.0788,24
26,0,0.97112,24
26,0,1.0399,24
26,0,1.0477,24
26,0,1.0332,24
26,0,1.3057,24
26,0,1.1101,24
26,0,1.3164,24
26,0,1.3003,24
26,0,1.3515,24
26,0,1.6917,24
26,0,1.5488,24
25,0,1.4642,24
25,0,1.3688,24
25,0,1.427,24
25,0,1.523,23
25,0,1.5104,23
25,0,1.4381,23
25,0,1.6197,23
25,0,1.7131,23
25,0,1.5463,23
25,0,1.456,23
25,0,1.3618,23
25,0,1.6395,23
25,0,1.6418,23
25,0,1.5314,23
25,0,1.5781,23
0,0,1.1303,0
24,0,1.2342,23
24,0,0.7975,23
24,0,1.2136,23
24,0,1.6197,23
24,0,1.7915,23
24,0,1.1762,23
24,0,1.083,23
24,0,1.2921,23
24,0,1.6124,23
24,0,1.4131,23
24,0,1.3268,23
24,0,1.3696,23
24,0,1.3854,23
24,0,1.335,23
24,0,1.056,22
24,0,0.83258,22
24,0,1.0366,22
24,0,0.58227,22
24,0,0.56577,22
24,0,1.0302,22
24,0,0.83263,22
23,0,1.2311,22
24,0,1.4065,22
24,0,1.3877,22
24,0,1.4696,22
24,0,1.4659,22
24,0,1.5159,22
24,0,1.4035,22
24,0,1.413,22
24,0,1.1091,22
23,0,1.2948,22
23,0,0.70025,22
24,0,1.0247,22
23,0,0.76535,22
23,0,1.623,22
23,0,1.6137,22
23,0,1.3918,22
23,0,1.5476,22
23,10,1.7278,22
25,37,1.6324,23
26,77,1.7576,24
27,121,2.1495,25
28,161,2.2504,26
29,202,2.2984,26
29,242,1.9079,27
31,285,1.807,28
31,328,1.4417,29
31,370,1.6045,30
32,413,1.7787,34
29,454,1.8306,38
28,493,1.5361,40
29,531,1.6079,42
29,566,1.4244,45
30,600,1.5559,47
30,635,1.8445,49
31,666,1.9139,50
31,695,1.5795,51
31,725,1.9669,52
31,745,1.7012,54
31,770,1.7058,53
31,797,1.1629,54
32,814,1.2531,56
31,835,1.6542,57
32,856,1.2141,57
32,891,1.5016,58
32,604,1.4249,52
32,635,1.0047,47
32,279,0.63657,49
32,623,0.94613,51
32,278,1.3404,53
32,740,1.7047,47
33,861,1.9786,58
33,791,0.82343,61
33,1040,1.2704,56
34,938,1.6032,64
33,930,1.8945,63
34,898,2.5034,63
34,898,3.2836,62
33,964,3.0643,60
33,896,3.1287,57
33,919,2.6392,58
33,837,2.8388,56
33,825,2.9935,55
33,790,2.8437,55
33,782,2.1582,54
33,755,1.616,55
33,794,1.4951,56
33,901,2.3059,58
32,168,4.916,53
27,63,4.0192,30
24,90,2.1626,26
25,113,1.1605,26
25,192,2.3744,27
26,238,1.5031,29
26,373,0.92972,30
26,370,0.71432,33
26,225,0.59523,32
26,173,0.85423,31
26,98,0.7838,30
26,73,1.0209,29
26,105,0.97895,29
26,93,1.438,29
26,64,1.0634,28
26,33,1.4224,27
26,10,1.2508,27
26,0,0.71522,26
26,0,0.80192,26
26,0,0.73025,26
26,0,1.1849,25
26,0,0.72908,25
26,0,1.0432,26
26,0,0.89112,26
26,0,0.58127,25
26,0,0.85942,25
26,0,0.757,25
25,0,1.1805,25
25,0,0.67175,25
25,0,0.76258,25
25,0,0.73672,25
25,0,0.59693,25
25,0,0.78367,25
25,0,0.45917,25
25,0,0.69243,24
25,0,0.65373,24
25,0,0.89958,24
25,0,1.5647,24
25,0,1.3599,24
25,0,1.6405,24
24,0,1.5493,23
24,0,1.8687,23
24,0,1.6114,23
24,0,1.1913,23
24,0,1.4557,23
24,0,1.9391,23
25,0,1.4235,23
25,0,1.2574,23
25,0,1.5448,23
25,0,1.7943,23
25,0,1.4494,23
25,0,1.688,23
25,0,1.7942,23
25,0,1.7861,23
25,0,1.9933,23
0,0,2.3149,0
25,0,2.8891,23
25,0,2.904,23
25,0,3.3826,23
25,0,3.3422,23
25,0,3.7017,23
25,0,3.503,23
25,0,3.346,23
25,0,2.1305,23
25,0,1.5945,23
25,0,1.5285,23
25,0,1.4982,23
25,0,1.3758,23
25,0,1.6209,23
25,0,1.3046,23
25,0,1.443,23
24,0,1.4756,23
24,0,1.4554,22
24,0,1.5305,22
24,0,1.351,22
24,0,1.1776,22
24,0,1.2921,22
24,0,1.1011,22
24,0,0.94312,22
24,0,0.97517,22
24,0,0.9325,22
24,0,0.9847,22
24,0,0.78805,22
24,0,0.89523,22
0,0,1.1399,0
24,0,0.74488,22
24,0,0.68932,22
24,0,0.8994,22
24,0,0.84533,22
24,0,0.63987,22
24,0,0.65637,22
24,0,0.61398,22
23,0,0.81332,21
25,1,1.593,22
25,9,1.1472,22
26,37,1.0368,23
27,74,1.2051,24
28,125,1.0584,25
29,173,1.0195,26
30,220,1.1336,28
31,268,1.2145,29
30,193,1.0493,30
31,324,1.1974,30
31,319,1.2537,32
33,423,1.0703,34
30,479,1.1027,39
30,525,0.97843,43
29,418,1.0973,44
29,281,0.94367,43
29,464,1.108,41
30,577,1.2143,44
30,678,1.1503,49
30,720,0.76747,51
31,747,0.78475,52
31,723,0.98085,55
31,741,0.47975,57
32,832,0.69503,59
32,825,0.63413,61
32,647,0.71027,59
32,785,1.1596,58
32,807,1.2018,60
32,923,0.68463,60
32,895,0.88183,61
32,470,1.8549,50
33,1040,1.7127,60
33,993,0.93532,61
33,958,1.9015,64
33,982,2.6636,66
33,996,3.2555,63
33,990,3.0209,60
32,950,3.1888,58
32,935,3.141,58
32,899,2.5969,56
32,887,2.8424,56
32,877,2.6086,57
32,860,2.7948,56
32,847,2.3902,56
32,826,2.1549,56
32,805,2.3321,56
32,782,3.1034,56
32,757,2.8938,53
32,726,2.2949,52
32,696,2.4428,52
32,666,2.2395,52
32,639,2.3678,51
32,603,2.2783,50
32,564,2.6659,49
31,538,2.3829,48
31,503,2.7052,46
31,469,2.5934,45
31,424,2.4318,44
31,387,2.4339,43
31,352,2.1436,42
31,311,2.3155,41
31,310,2.3337,40
31,257,2.7531,39
31,239,2.5583,38
31,199,1.6008,37
31,118,1.2873,35
30,69,0.83367,33
30,36,1.4981,31
28,9,1.2361,29
27,0,1.8935,27
27,0,1.5242,26
26,0,0.90752,26
26,0,0.75932,26
26,0,1.3728,26
27,0,0.96313,26
26,0,1.0357,26
26,0,1.0458,25
26,0,0.88938,25
26,0,0.69303,25
26,0,0.55362,24
26,0,0.54208,24
25,0,0.845,24
25,0,1.2213,24
25,0,0.81237,24
25,0,0.67013,24
25,0,0.44413,24
25,0,0.47952,24
25,0,0.2925,24
26,0,0.66447,24
26,0,0.85645,24
25,0,0.4854,24
25,0,1.1982,24
25,0,1.0946,24
25,0,0.99395,24
25,0,0.5178,24
25,0,0.88093,24
25,0,0.29015,24
25,0,0.67607,24
25,0,0.68775,24
25,0,0.90013,24
25,0,0.91205,24
25,0,1.1387,23
25,0,1.2398,23
25,0,1.2409,23
25,0,1.1919,23
25,0,1.6621,23
0,0,1.6239,0
25,0,1.7935,23
24,0,1.8473,23
24,0,1.5959,23
25,0,1.3295,23
25,0,1.0058,23
25,0,1.2985,23
25,0,1.1761,23
25,0,1.2139,23
25,0,1.1734,23
24,0,0.99428,22
24,0,1.3113,22
25,0,0.95888,22
24,0,1.2607,22
24,0,1.2763,22
24,0,1.0346,22
24,0,1.0914,21
24,0,0.98483,21
24,0,1.2235,21
24,0,0.92322,21
24,0,0.98973,21
24,0,1.3937,21
23,0,1.3574,21
23,0,0.9656,21
23,0,1.1309,21
23,0,1.0403,20
23,0,0.42417,20
23,0,1.2408,20
23,0,0.62827,20
23,0,0.46115,20
23,0,0.69933,21
23,0,1.1759,20
23,0,1.1447,20
23,0,1.2855,20
23,0,1.4674,20
23,0,1.1774,20
23,0,1.1768,20
23,0,0.90047,20
23,0,1.1833,20
24,7,1.4431,21
25,39,1.4982,21
26,73,1.6005,22
27,118,1.1996,23
29,162,1.1732,24
30,209,1.3268,26
30,254,1.2028,27
31,300,0.94282,29
32,344,1.4711,30
32,388,1.1151,31
33,430,0.93348,33
31,472,0.96957,35
29,512,0.82272,41
29,550,0.94812,44
28,505,0.68585,47
29,622,0.59037,49
29,657,0.81095,50
29,687,0.69213,52
30,717,1.2595,54
30,748,1.2571,56
31,773,1.1221,56
31,799,1.2414,57
31,824,1.1576,57
31,846,1.0143,58
31,864,1.2426,60
32,880,1.8923,61
32,898,1.6562,61
32,909,1.5839,60
32,920,1.4626,60
33,930,1.7647,62
33,937,1.0803,61
32,942,1.2548,62
33,946,1.6682,64
33,946,2.7292,64
33,945,2.823,62
32,943,2.6768,59
32,939,3.0459,57
32,933,2.7409,58
32,924,3.0322,57
32,912,2.9652,57
32,899,3.0772,56
32,884,3.0791,56
32,866,3.0624,56
32,844,2.9774,54
32,825,3.4088,54
32,803,3.0649,53
32,775,3.2719,52
32,746,3.2327,51
32,718,2.9541,51
32,686,2.9732,50
32,651,3.3718,50
32,619,3.2584,48
31,587,3.5232,47
31,547,2.7992,46
31,509,2.9371,45
31,461,3.101,44
31,420,2.7933,42
31,376,2.6775,41
31,325,2.13,40
30,285,2.6883,39
30,229,2.4239,37
30,185,2.4245,35
30,144,2.5159,34
29,97,2.3827,32
30,43,2.0728,30
29,33,2.2572,29
29,7,2.0356,27
28,0,2.0429,27
28,0,2.0553,26
28,0,2.4766,26
28,0,1.9448,25
28,0,2.1895,26
28,0,1.8474,26
27,0,2.2676,25
27,0,1.5467,25
27,0,1.111,25
26,0,1.0118,24
26,0,0.83225,24
27,0,0.87797,24
27,0,1.1353,24
26,0,1.1708,24
27,0,1.0396,24
26,0,0.93383,24
26,0,1.0362,24
26,0,1.0726,23
26,0,1.0551,23
26,0,0.78707,23
26,0,0.77415,23
25,0,0.86648,23
25,0,0.99745,23
25,0,1.039,23
25,0,1.1015,23
25,0,1.045,23
25,0,1.5037,23
25,0,1.4324,22
25,0,1.1762,23
25,0,0.8965,23
25,0,1.0493,22
24,0,1.0111,22
24,0,1.0645,22
24,0,1.2054,22
24,0,1.26,22
24,0,1.2085,22
24,0,1.4491,22
24,0,1.5041,21
0,0,1.5748,0
24,0,1.2667,22
24,0,1.148,22
24,0,0.60988,21
24,0,0.85117,21
24,0,0.6104,21
23,0,0.7097,21
23,0,0.84098,21
24,0,0.96865,20
23,0,0.43922,20
24,0,0.8063,21
23,0,0.853,21
23,0,0.90187,21
23,0,0.84835,20
23,0,0.89518,20
23,0,1.0657,20
23,0,1.0901,20
23,0,0.8336,20
23,0,0.88003,20
23,0,0.94235,20
23,0,0.9106,20
23,0,1.2032,20
23,0,1.2223,20
23,0,1.3641,20
23,0,1.183,20
23,0,1.3536,20
23,0,1.2932,20
23,0,1.1597,20
23,0,0.85863,20
23,0,0.93232,20
23,0,0.69462,20
23,0,1.3648,20
23,0,0.87067,20
23,0,0.9352,20
22,0,1.1508,20
22,0,1.1611,20
22,0,0.90735,20
22,0,0.58197,19
22,3,0.66902,20
22,8,0.78578,19
22,36,0.76122,20
24,70,0.60698,21
25,117,0.85093,22
26,154,0.8328,24
27,201,0.6689,26
26,246,0.61367,26
27,293,0.80133,28
26,339,0.75938,29
28,381,0.6354,30
27,426,0.62962,35
27,458,0.5509,39
27,506,0.51435,42
27,545,0.81432,44
27,582,0.69875,46
28,620,0.84015,48
28,653,0.9795,50
29,684,0.79152,51
29,718,0.8199,53
29,747,0.78658,54
30,774,0.66003,55
30,798,1.1297,56
30,821,0.91178,57
30,838,0.73477,57
31,863,0.60187,59
30,880,0.9923,60
31,889,0.98892,62
32,907,1.185,63
32,911,1.3372,61
31,926,1.1379,61
32,932,1.0198,62
32,935,1.4739,61
32,930,2.6321,63
32,942,3.3045,61
32,939,2.9621,58
31,936,3.0569,57
32,927,2.9588,57
31,920,3.0142,56
31,915,2.97,56
31,899,2.3169,55
32,884,2.2724,56
32,868,2.5888,57
32,854,2.0385,57
31,827,1.7691,56
32,814,1.7771,57
32,788,1.9412,57
31,759,1.9376,56
31,739,2.1105,55
31,712,1.8128,54
31,682,1.7211,53
31,648,2.3976,52
32,620,2.3072,51
31,594,2.1352,49
31,550,1.975,48
31,502,2.1294,47
31,478,1.8424,46
31,435,1.8172,45
31,385,1.6024,43
30,345,1.3298,42
30,298,1.2402,41
30,242,1.3861,39
30,178,1.2389,37
29,103,1.1097,34
29,36,0.93792,31
29,46,1.1824,29
28,34,1.1862,28
28,8,1.2261,27
27,0,1.3107,26
27,0,1.3865,25
27,0,1.1658,25
27,0,0.76852,24
27,0,0.50008,24
26,0,0.93785,24
26,0,1.4945,24
26,0,1.243,23
26,0,0.7639,23
26,0,0.37232,23
26,0,0.42433,23
26,0,0.24852,23
26,0,0.46982,23
25,0,0.60077,23
25,0,0.70528,23
25,0,0.36472,23
25,0,1.0219,23
25,0,1.0851,23
26,0,0.7251,23
25,0,0.54137,23
25,0,0.43983,23
25,0,0.52952,23
25,0,0.56483,23
24,0,0.37172,22
24,0,0.25028,22
25,0,0.43507,22
24,0,0.28063,22
24,0,0.41003,22
24,0,0.62605,22
24,0,0.8854,22
24,0,0.91138,22
24,0,0.65948,22
24,0,0.83838,22
23,0,1.1522,21
23,0,1.2424,21
23,0,1.1877,21
23,0,1.0234,21
23,0,1.0913,21
0,0,1.0593,0
24,0,1.2448,22
24,0,1.2975,21
24,0,1.4673,21
24,0,1.3282,21
24,0,1.5053,21
23,0,1.6721,21
23,0,1.6641,21
23,0,1.7487,21
23,0,1.1716,21
23,0,1.6614,20
23,0,1.1979,21
23,0,1.1748,20
23,0,1.4631,20
23,0,1.7357,20
23,0,1.5097,20
23,0,1.8393,20
23,0,1.9288,20
23,0,1.5666,20
23,0,1.5408,20
23,0,1.5954,20
23,0,1.3964,19
23,0,1.5236,19
23,0,1.0849,19
23,0,1.2518,19
23,0,1.5213,19
23,0,1.0347,19
23,0,0.85797,19
23,0,0.6447,19
22,0,0.93288,19
23,0,0.76863,19
22,0,0.90582,19
22,0,0.55282,19
22,0,0.82533,19
22,0,1.1141,19
22,0,0.76917,19
22,0,0.80585,19
23,0,0.85272,20
22,0,0.98228,20
22,4,0.90067,19
22,19,0.98963,20
23,50,0.9874,20
24,127,1.1615,22
25,187,1.2746,24
25,228,1.2481,25
26,192,1.2327,26
25,173,0.99002,25
26,265,1.0855,26
27,384,1.1217,33
28,390,1.262,37
27,526,1.2662,39
27,431,1.1883,39
27,407,1.6507,41
28,642,1.7859,43
28,567,1.5997,43
28,455,1.3676,43
28,622,1.5141,46
29,497,1.2165,47
30,700,1.0257,49
29,678,1.0856,48
30,839,0.95705,54
30,613,0.61523,56
30,925,0.77117,56
31,801,0.8714,60
30,689,0.56617,58
31,709,1.2239,60
31,721,1.2243,57
31,817,1.3026,56
32,862,1.1789,57
32,1011,1.3391,58
31,890,1.0485,60
32,730,1.1959,58
32,929,1.3234,61
32,594,0.9231,60
32,800,1.3085,56
33,965,1.247,61
32,879,0.6,59
32,677,1.6089,62
33,826,3.1206,59
33,857,3.1829,59
32,630,3.6326,53
32,952,2.9325,55
32,822,3.22,54
32,840,3.3049,51
31,606,3.3808,50
31,348,3.4611,44
31,815,3.1454,45
31,798,2.2647,48
31,565,2.226,50
31,453,1.9129,48
31,639,2.4037,49
31,600,2.3525,50
31,552,1.9018,48
31,508,1.2795,47
31,467,0.93142,47
31,426,1.3506,46
31,378,1.4021,45
31,330,1.4205,43
31,277,1.4445,41
30,233,1.4899,39
30,173,1.5566,37
30,132,1.1778,35
30,98,1.0818,33
30,54,1.0653,31
29,27,1.0408,29
28,6,0.98332,27
28,0,1.0118,27
28,0,1.0177,26
28,0,0.97292,26
28,0,0.68908,25
28,0,0.84927,26
27,0,0.72658,26
27,0,0.63517,25
27,0,1.4035,25
27,0,1.1045,25
26,0,1.0006,25
27,0,1.4391,26
27,0,1.4453,26
27,0,0.82123,26
27,0,0.90207,26
27,0,1.0965,26
27,0,1.1721,25
27,0,0.85593,25
27,0,1.2709,25
27,0,1.3711,25
27,0,0.76058,25
27,0,0.67425,25
26,0,0.77198,25
26,0,0.68885,25
26,0,0.62775,25
26,0,0.6798,25
26,0,0.90295,25
26,0,0.7421,24
26,0,1.018,24
25,0,0.93588,23
26,0,0.77643,24
26,0,0.96835,24
26,0,1.0644,23
26,0,0.8407,23
26,0,0.4831,24
25,0,0.78852,23
25,0,0.83362,24
26,0,1.1883,24
25,0,1.2326,24
0,0,1.2251,0
25,0,1.0426,23
26,0,0.91542,24
25,0,0.79642,23
25,0,1.1651,23
26,0,1.1343,23
25,0,1.2294,23
24,0,1.2792,22
24,0,1.195,22
24,0,1.1912,22
24,0,1.0989,22
24,0,0.91362,21
24,0,0.95995,21
24,0,1.2305,21
24,0,0.89332,21
24,0,0.98295,21
24,0,0.88688,21
24,0,1.0468,21
23,0,0.6154,21
23,0,0.83593,21
23,0,0.68517,21
23,0,0.65422,21
23,0,0.99992,21
23,0,1.0781,21
23,0,1.1626,21
23,0,0.82783,21
24,0,1.1607,21
23,0,1.077,21
23,0,1.3781,21
23,0,1.0256,21
23,0,1.1364,21
23,0,0.70627,21
23,0,0.84697,21
23,0,0.69208,21
23,0,0.7113,21
23,0,0.71407,20
23,0,0.92885,20
23,0,0.9526,20
23,0,0.84297,21
22,6,0.92627,20
23,28,1.2303,21
24,68,1.1079,21
25,86,1.2312,23
25,104,1.4291,23
26,190,1.2834,25
26,173,1.431,26
27,239,1.2308,28
27,279,0.99868,30
28,292,0.93075,34
29,375,0.77423,37
28,449,0.65297,39
27,499,0.89485,42
28,534,0.96887,44
29,576,1.1412,45
29,604,1.0496,47
29,635,0.75745,48
29,679,0.66347,50
30,709,0.64487,53
29,737,0.58937,54
30,772,0.58562,56
30,768,0.9524,56
30,810,0.83927,58
31,822,1.0136,59
31,849,0.72613,60
31,882,1.5109,60
31,855,1.0351,61
31,911,1.6633,58
31,947,1.9861,58
31,926,2.3402,57
31,945,2.3892,57
32,961,1.5968,55
32,955,1.7545,57
32,943,1.6357,59
32,958,1.4182,59
32,955,1.9488,60
33,953,1.4203,62
33,889,0.88882,62
33,975,1.1113,62
33,887,1.571,64
33,941,1.5595,62
33,576,1.8058,56
33,427,1.4763,53
32,192,2.0311,42
33,837,1.6326,49
33,813,1.4312,52
33,536,1.566,54
33,683,2.2732,52
32,374,2.5454,50
32,673,2.5145,48
32,651,2.4219,50
32,606,2.5694,48
31,556,2.2697,48
32,491,2.0509,47
31,489,2.1628,46
31,452,2.3513,44
31,403,2.2448,44
31,365,2.2547,42
30,318,1.8348,40
30,273,1.6184,38
30,168,1.7733,37
29,97,1.3524,33
29,131,1.5401,33
29,94,1.6678,32
30,47,0.84998,30
29,21,0.61152,28
28,4,0.46722,27
28,0,0.82983,26
28,0,1.1622,26
27,0,1.406,25
27,0,1.2003,25
27,0,0.74137,25
27,0,0.7189,24
26,0,0.81818,24
27,0,0.965,24
26,0,0.97975,23
26,0,1.2324,23
26,0,1.2856,23
26,0,1.2435,23
26,0,1.5526,23
25,0,1.1408,23
25,0,1.4487,23
25,0,1.2414,23
25,0,0.96468,23
25,0,1.1341,22
25,0,0.91302,22
25,0,0.4962,22
25,0,1.0457,22
24,0,1.432,22
24,0,1.4946,21
24,0,1.2978,21
24,0,1.1602,21
24,0,0.81927,21
24,0,0.8259,21
24,0,1.6528,21
24,0,1.2892,21
24,0,1.4561,21
24,0,1.2366,21
24,0,1.3855,21
24,0,1.4869,21
24,0,1.6131,21
24,0,1.6408,21
24,0,1.7023,21
24,0,1.2835,21
24,0,1.2789,21
23,0,1.4493,21
24,0,1.3072,20
24,0,1.0741,21
24,0,1.2899,21
23,0,1.0051,20
23,0,1.054,20
23,0,1.0336,20
23,0,0.91878,20
23,0,0.99007,20
23,0,1.0966,20
23,0,1.0382,20
23,0,0.97233,20
23,0,1.195,20
23,0,1.1169,20
23,0,1.2025,19
23,0,1.1442,19
22,0,0.8532,19
22,0,0.90832,19
23,0,1.5218,20
22,0,1.28,19
23,0,0.47692,19
22,0,0.87992,19
22,0,0.8899,19
22,0,1.0711,19
22,0,1.252,19
22,0,1.3672,19
22,0,1.257,19
23,0,1.5421,20
23,0,1.4637,20
22,0,1.6868,19
22,0,1.5989,19
22,0,1.3774,19
22,0,1.7874,19
22,0,1.633,20
22,0,1.5906,19
22,0,1.2531,19
22,0,1.2675,19
22,0,1.0955,20
22,5,1.1498,20
22,23,1.3439,20
23,58,1.2965,21
24,100,1.43,22
25,145,1.1932,23
26,189,0.79022,25
26,238,0.71805,27
26,282,0.42802,31
28,328,0.33043,34
28,371,0.47643,37
28,416,0.5735,39
27,453,0.7091,41
27,495,0.52367,43
27,532,0.5581,44
27,566,0.83853,46
28,601,0.57098,48
29,641,0.5743,50
30,675,0.72063,52
30,704,1.0128,54
29,733,1.4881,54
30,758,1.2203,54
30,784,0.86353,55
30,826,0.7907,56
30,851,1.1721,58
30,546,1.1324,56
29,139,0.85797,45
29,452,0.48145,39
31,838,0.92972,53
31,922,0.84323,60
31,911,1.3248,61
31,928,1.1435,63
32,909,0.7595,63
32,928,0.6142,64
32,922,1.3873,64
32,944,1.5931,62
32,945,2.452,61
32,932,3.131,59
32,920,2.7653,58
32,911,2.6547,57
32,907,2.6368,58
32,888,2.2788,57
32,872,2.3675,57
32,853,2.2488,57
32,835,2.4385,56
32,817,2.4396,56
32,791,2.3413,55
32,763,2.17,54
32,738,3.0636,54
31,711,2.9464,51
31,683,2.4895,50
31,653,2.5454,50
31,618,2.5199,49
31,580,2.4873,48
31,541,2.688,47
31,503,2.3464,45
31,464,2.064,44
31,424,1.8334,43
30,380,2.5268,41
30,337,1.7336,40
30,291,1.6695,39
30,245,1.9284,38
30,190,2.074,36
29,152,1.6949,34
29,110,1.4757,32
30,66,1.0185,30
28,31,1.1773,28
28,6,1.4268,26
27,0,1.3162,25
27,0,1.3739,24
27,0,1.5608,24
27,0,1.2926,24
27,0,0.76837,23
27,0,1.0302,23
26,0,1.056,23
26,0,1.5806,23
26,0,1.1072,23
26,0,1.1025,23
26,0,1.5218,23
25,0,1.5415,23
25,0,1.2291,22
25,0,1.5604,22
25,0,1.3665,22
25,0,1.8138,22
24,0,1.1392,22
24,0,0.79107,21
25,0,1.5835,22
24,0,0.8746,21
24,0,0.81218,21
25,0,0.93162,21
24,0,1.1494,22
24,0,1.1303,21
24,0,1.2199,21
24,0,1.0668,21
24,0,1.2317,21
24,0,0.561,21
24,0,0.66128,21
24,0,0.75588,21
24,0,0.86018,21
24,0,0.72478,21
23,0,0.87088,21
23,0,0.60212,21
24,0,1.1167,21
24,0,1.225,21
24,0,1.4055,21
24,0,1.6748,21
24,0,1.6762,21
0,0,1.5906,0
24,0,1.6438,21
23,0,1.5505,21
23,0,1.3081,20
24,0,0.95275,21
24,0,0.68328,21
24,0,0.46503,21
24,0,0.4121,21
23,0,0.39358,20
23,0,0.58373,20
23,0,0.714,20
23,0,0.40485,20
23,0,0.74653,20
23,0,1.4577,20
23,0,1.014,20
23,0,0.68487,21
23,0,0.3187,21
23,0,0.48332,20
23,0,0.48637,20
22,0,0.57943,20
22,0,0.70877,20
22,0,0.8872,20
22,0,1.148,20
22,0,1.2074,20
22,0,0.80535,20
22,0,0.87595,20
22,0,1.0229,20
22,0,0.9813,20
22,0,0.7716,20
22,0,1.0037,20
22,0,0.94665,20
22,0,1.0666,20
22,0,0.70633,20
22,0,0.6327,20
22,0,0.79083,20
22,0,0.74877,20
22,0,1.0879,20
22,0,0.83922,20
22,0,0.68135,20
21,5,0.55317,19
22,29,0.72217,20
23,65,0.65563,21
24,107,0.34058,22
24,149,0.765,24
25,188,0.84418,25
25,230,0.64678,25
25,275,0.52582,27
26,318,0.59017,30
27,361,0.38798,34
26,403,0.4421,37
29,444,0.43023,40
27,484,0.53575,43
27,521,0.53357,44
28,555,0.79343,46
28,592,1.0114,48
28,622,1.0441,49
29,656,0.8813,49
29,691,1.0347,50
29,714,0.84232,52
29,742,0.97485,53
30,776,1.198,55
30,807,1.6479,57
31,827,2.1867,57
31,860,2.4534,57
31,883,2.4234,56
31,880,2.1331,56
31,892,2.2676,57
31,899,2.54,58
32,913,3.17,57
32,918,2.713,58
32,926,2.6996,57
32,928,2.744,57
32,929,2.4871,57
32,929,2.8656,58
32,928,2.3071,58
32,924,2.8178,58
31,919,2.573,58
31,913,2.5616,56
32,900,2.8164,57
32,889,2.6935,56
31,872,2.5093,55
31,856,2.2973,56
31,834,2.6358,56
31,812,2.9285,55
31,788,2.536,53
31,765,2.3239,53
31,734,2.6234,52
31,698,2.2965,51
31,679,2.2944,51
31,646,3.0105,50
30,603,1.7155,48
31,595,2.1504,47
31,539,2.063,48
30,501,2.3286,46
30,459,2.1181,45
30,408,2.12,43
30,374,2.2991,41
30,331,2.3966,40
29,278,2.2218,38
29,223,1.9383,36
