Ta,G,V,Tc
26,0,3.5444,24
26,0,3.2058,24
26,0,3.0523,24
26,0,3.2102,24
25,0,2.5638,23
25,0,2.3639,23
26,0,2.4809,23
25,0,2.4141,23
25,0,2.4497,24
26,0,2.334,24
25,0,1.9361,24
25,0,1.7034,24
26,0,1.5545,24
26,0,2.8369,24
25,0,3.2963,23
25,0,2.8758,23
25,0,2.3155,23
25,0,2.4887,23
26,0,2.5727,23
25,0,1.8531,24
25,0,1.6346,23
25,0,1.6471,23
24,0,1.3281,23
24,0,1.3048,23
24,0,1.734,23
24,0,1.6438,23
24,0,0.81708,23
24,0,1.3956,22
24,0,2.8993,22
24,0,2.4634,22
24,0,2.9823,22
24,0,2.9531,22
24,0,2.9295,22
24,0,2.9932,22
24,0,2.2958,22
24,0,2.2611,22
24,0,2.2431,23
24,0,2.5279,22
24,0,3.2452,22
24,3,2.9289,22
24,11,2.5508,23
24,30,2.637,23
24,47,2.9478,23
25,87,2.8353,25
27,141,2.916,27
27,152,3.1532,27
28,226,2.9834,29
29,278,2.0889,31
29,323,2.4611,32
29,365,2.278,33
27,412,2.1072,35
28,454,2.0173,36
29,498,2.1627,38
28,535,2.7924,40
28,577,2.7208,42
28,611,2.4684,43
29,646,2.2491,43
29,680,2.9699,46
29,709,2.5767,45
30,745,2.6463,47
30,776,2.7933,47
30,800,2.4556,47
30,825,2.1339,48
30,849,1.8607,51
30,876,2.1813,50
31,910,2.3247,51
31,939,2.112,52
31,900,2.407,53
32,955,2.6966,53
32,972,2.3932,55
32,1029,2.1023,59
31,300,2.5484,47
31,354,2.8908,42
31,373,2.9588,40
32,391,2.7978,46
32,906,2.2114,46
32,659,2.1209,52
33,1044,2.2459,56
33,682,2.4301,56
32,898,2.8381,49
32,405,3.4637,48
33,946,2.7382,51
33,1016,3.0749,58
33,461,2.6134,53
32,179,2.4957,46
33,882,2.6767,49
32,933,3.8506,54
33,816,3.6959,55
32,883,3.1454,55
32,532,4.3882,51
33,753,5.5618,54
32,727,5.7215,52
32,730,4.4961,52
32,789,3.1385,51
33,759,2.2574,52
32,695,0.79693,51
28,176,1.2683,31
26,58,1.4,27
25,77,1.6368,26
25,97,1.6561,26
25,81,1.688,26
26,51,1.2182,26
25,31,0.89795,26
25,17,0.97765,25
25,14,1.126,25
25,14,1.101,25
25,14,0.89762,25
25,16,1.4573,25
25,7,1.5606,25
25,0,1.7092,25
25,0,1.8029,25
25,0,1.8309,25
25,0,1.6425,25
26,0,1.4295,24
25,0,1.7383,24
25,0,1.1747,24
26,0,1.7286,24
26,0,1.5296,24
26,0,1.2742,24
26,0,1.3388,24
26,0,0.82332,24
26,0,0.71927,24
26,0,1.1072,24
26,0,0.96727,24
25,0,1.0048,23
26,0,0.79925,23
25,0,1.2609,23
25,0,1.2407,23
25,0,1.4088,23
26,0,0.54322,23
26,0,1.0811,23
25,0,1.1437,23
26,0,1.2727,23
25,0,1.2855,23
25,0,1.6973,23
25,0,2.3356,23
26,0,1.9928,23
26,0,1.7018,23
26,0,2.4473,23
26,0,2.0995,23
26,0,1.7554,23
26,0,1.7559,23
26,0,0.9959,23
26,0,1.3189,23
26,0,1.2059,23
26,0,1.3233,23
26,0,1.0449,23
26,0,1.2914,23
25,0,1.0027,23
26,0,1.0781,23
25,0,0.89743,23
25,0,0.69475,23
25,0,0.80853,22
25,0,1.1697,22
25,0,1.032,22
25,0,0.70498,22
25,0,0.89622,22
25,0,1.295,22
25,0,1.0762,22
